FED Series Name,Series ID
FA105020005.A,NCBIVAA027N
FA115020005.A,NNBINVA027N
FA716025005.A,BOGZ1FA716025005A
FA716121001.A,BOGZ1FA716121001A
FA716140005.A,BOGZ1FA716140005A
FA716220001.A,BOGZ1FA716220001A
FA716330085.A,BOGZ1FA716330005A
FL102000005.A,NCBTSTA027N
FL104194005.A,NCBLEYA027N
LM105020015.A,BOGZ1LM105020015A
FL112000005.A,NNBTASA027N
FL114190005.A,NNBTILA027N
LM115020005.A,BOGZ1LM115020005A
FL152000005.A,HNOTASA027N
LM152090205.A,BOGZ1LM152090205A
FL154190005.A,HNOTOLA027N
FL212000095.A,SLGTANA027N
FL213162005.A,SLGMSOA027N
FL214190005.A,SLGLIAA027N
FL264090005.A,ROWTASA027N
FL264194005.A,ROWTLEA027N
FL312000095.A,FGTNILA027N
FL314122005.A,FGDSLAA027N
FL314190005.A,FGTLBLA027N
FL792000095.A,FBTALDA027N
FL794194005.A,FBLIEQA027N
FL153061105.A,HNOTSAA027N
FL153061705.A,HNOGSSA027N
FL153062005.A,HNOMSAA027N
FL113061003.A,NNBGSTA027N
FL113062003.A,NNBMSAA027N
FL103061103.A,NCBTSEA027N
FL103061703.A,NCBABSA027N
FL103062003.A,NCBMSTA027N
FL793061105.A,FBTSAAA027N
FL793061705.A,FBGSESA027N
FL793062005.A,FBMSLAA027N
FL713061103.A,BOGZ1FL713061103A
FL713061705.A,BOGZ1FL713061705A
LM263061105.A,BOGZ1LM263061105A
LM263061705.A,BOGZ1LM263061705A
FL263062003.A,ROWMLAA027N