TableId,TableTitle
T51000,"Table 5.10. Changes in Net Stock of Produced Assets (Fixed Assets and Inventories)"
T51100,"Table 5.11. Capital Transfers Paid and Received, by Sector and by Type"
T60100B,"Table 6.1B. National Income Without Capital Consumption Adjustment by Industry"
T60100C,"Table 6.1C. National Income Without Capital Consumption Adjustment by Industry"
T60100D,"Table 6.1D. National Income Without Capital Consumption Adjustment by Industry"
T60200A,"Table 6.2A. Compensation of Employees by Industry"
T60200B,"Table 6.2B. Compensation of Employees by Industry"
T60200C,"Table 6.2C. Compensation of Employees by Industry"
T60200D,"Table 6.2D. Compensation of Employees by Industry"
T60300A,"Table 6.3A. Wages and Salaries by Industry"
T60300B,"Table 6.3B. Wages and Salaries by Industry"
T60300C,"Table 6.3C. Wages and Salaries by Industry"
T60300D,"Table 6.3D. Wages and Salaries by Industry"
T60400A,"Table 6.4A. Full-Time and Part-Time Employees by Industry"
T60400B,"Table 6.4B. Full-Time and Part-Time Employees by Industry"
T60400C,"Table 6.4C. Full-Time and Part-Time Employees by Industry"
T60400D,"Table 6.4D. Full-Time and Part-Time Employees by Industry"
T60500A,"Table 6.5A. Full-Time Equivalent Employees by Industry"
T60500B,"Table 6.5B. Full-Time Equivalent Employees by Industry"
T60500C,"Table 6.5C. Full-Time Equivalent Employees by Industry"
T60500D,"Table 6.5D. Full-Time Equivalent Employees by Industry"
T60600A,"Table 6.6A. Wages and Salaries Per Full-Time Equivalent Employee by Industry"
T60600B,"Table 6.6B. Wages and Salaries Per Full-Time Equivalent Employee by Industry"
T60600C,"Table 6.6C. Wages and Salaries Per Full-Time Equivalent Employee by Industry"
T60600D,"Table 6.6D. Wages and Salaries Per Full-Time Equivalent Employee by Industry"
T60700A,"Table 6.7A. Self-Employed Persons by Industry"
T60700B,"Table 6.7B. Self-Employed Persons by Industry"
T60700C,"Table 6.7C. Self-Employed Persons by Industry"
T60700D,"Table 6.7D. Self-Employed Persons by Industry"
T60800A,"Table 6.8A. Persons Engaged in Production by Industry"
T60800B,"Table 6.8B. Persons Engaged in Production by Industry"
T60800C,"Table 6.8C. Persons Engaged in Production by Industry"
T60800D,"Table 6.8D. Persons Engaged in Production by Industry"
T60900B,"Table 6.9B. Hours Worked by Full-Time and Part-Time Employees by Industry"
T60900C,"Table 6.9C. Hours Worked by Full-Time and Part-Time Employees by Industry"
T60900D,"Table 6.9D. Hours Worked by Full-Time and Part-Time Employees by Industry"
T61000B,"Table 6.10B. Employer Contributions for Government Social Insurance by Industry"
T61000C,"Table 6.10C. Employer Contributions for Government Social Insurance by Industry"
T61000D,"Table 6.10D. Employer Contributions for Government Social Insurance by Industry"
T61100A,"Table 6.11A. Employer Contributions for Employee Pension and Insurance Funds by Industry and by Type"
T61100B,"Table 6.11B. Employer Contributions for Employee Pension and Insurance Funds by Industry and by Type"
T61100C,"Table 6.11C. Employer Contributions for Employee Pension and Insurance Funds by Industry and by Type"
T61100D,"Table 6.11D. Employer Contributions for Employee Pension and Insurance Funds by Industry and by Type"
T61200A,"Table 6.12A. Nonfarm Proprietors' Income by Industry"
T61200B,"Table 6.12B. Nonfarm Proprietors' Income by Industry"
T61200C,"Table 6.12C. Nonfarm Proprietors' Income by Industry"
T61200D,"Table 6.12D. Nonfarm Proprietors' Income by Industry"
T61300A,"Table 6.13A. Noncorporate Capital Consumption Allowances by Industry"
T61300B,"Table 6.13B. Noncorporate Capital Consumption Allowances by Industry"
T61300C,"Table 6.13C. Noncorporate Capital Consumption Allowances by Industry"
T61300D,"Table 6.13D. Noncorporate Capital Consumption Allowances by Industry"
T61400A,"Table 6.14A. Inventory Valuation Adjustment to Nonfarm Incomes by Legal Form of Organization and by Industry"
T61400B,"Table 6.14B. Inventory Valuation Adjustment to Nonfarm Incomes by Legal Form of Organization and by Industry"
T61400C,"Table 6.14C. Inventory Valuation Adjustment to Nonfarm Incomes by Legal Form of Organization and by Industry"
T61400D,"Table 6.14D. Inventory Valuation Adjustment to Nonfarm Incomes by Legal Form of Organization and by Industry"
T61500A,"Table 6.15A. Net Interest by Industry"
T61500B,"Table 6.15B. Net Interest by Industry"
T61500C,"Table 6.15C. Net Interest by Industry"
T61500D,"Table 6.15D. Net Interest by Industry"
T61600A,"Table 6.16A. Corporate Profits by Industry"
T61600B,"Table 6.16B. Corporate Profits by Industry"
T61600C,"Table 6.16C. Corporate Profits by Industry"
T61600D,"Table 6.16D. Corporate Profits by Industry"
T61700A,"Table 6.17A. Corporate Profits Before Tax by Industry"
T61700B,"Table 6.17B. Corporate Profits Before Tax by Industry"
T61700C,"Table 6.17C. Corporate Profits Before Tax by Industry"
T61700D,"Table 6.17D. Corporate Profits Before Tax by Industry"
T61800A,"Table 6.18A. Taxes on Corporate Income by Industry"
T61800B,"Table 6.18B. Taxes on Corporate Income by Industry"
T61800C,"Table 6.18C. Taxes on Corporate Income by Industry"
T61800D,"Table 6.18D. Taxes on Corporate Income by Industry"
T61900A,"Table 6.19A. Corporate Profits After Tax by Industry"
T61900B,"Table 6.19B. Corporate Profits After Tax by Industry"
T61900C,"Table 6.19C. Corporate Profits After Tax by Industry"
T61900D,"Table 6.19D. Corporate Profits After Tax by Industry"
T62000A,"Table 6.20A. Net Corporate Dividend Payments by Industry"
T62000B,"Table 6.20B. Net Corporate Dividend Payments by Industry"
T62000C,"Table 6.20C. Net Corporate Dividend Payments by Industry"
T62000D,"Table 6.20D. Net Corporate Dividend Payments by Industry"
T62100A,"Table 6.21A. Undistributed Corporate Profits by Industry"
T62100B,"Table 6.21B. Undistributed Corporate Profits by Industry"
T62100C,"Table 6.21C. Undistributed Corporate Profits by Industry"
T62100D,"Table 6.21D. Undistributed Corporate Profits by Industry"
T62200A,"Table 6.22A. Corporate Capital Consumption Allowances by Industry"
T62200B,"Table 6.22B. Corporate Capital Consumption Allowances by Industry"
T62200C,"Table 6.22C. Corporate Capital Consumption Allowances by Industry"
T62200D,"Table 6.22D. Corporate Capital Consumption Allowances by Industry"
T70100,"Table 7.1. Selected Per Capita Product and Income Series in Current and Chained Dollars"
T70201A,"Table 7.2.1A. Percent Change From Preceding Period in Real Auto Output"
T70201B,"Table 7.2.1B. Percent Change From Preceding Period in Real Motor Vehicle Output"
T70203A,"Table 7.2.3A. Real Auto Output, Quantity Indexes"
T70203B,"Table 7.2.3B. Real Motor Vehicle Output, Quantity Indexes"
T70204A,"Table 7.2.4A. Price Indexes for Auto Output"
T70204B,"Table 7.2.4B. Price Indexes for Motor Vehicle Output"
T70205A,"Table 7.2.5A. Auto Output"
T70205B,"Table 7.2.5B. Motor Vehicle Output"
T70206B,"Table 7.2.6B. Real Motor Vehicle Output, Chained Dollars"
T70303,"Table 7.3.3. Real Farm Sector Output, Real Gross Value Added, and Real Net Value Added, Quantity Indexes"
T70304,"Table 7.3.4. Price Indexes for Farm Sector Output, Gross Value Added, and Net Value Added"
T70305,"Table 7.3.5. Farm Sector Output, Gross Value Added, and Net Value Added"
T70306,"Table 7.3.6. Real Farm Sector Output, Real Gross Value Added, and Real Net Value Added, Chained Dollars"
T70403,"Table 7.4.3. Real Housing Sector Output, Real Gross Value Added, and Real Net Value Added, Quantity Indexes"
T70404,"Table 7.4.4. Price Indexes for Housing Sector Output, Gross Value Added, and Net Value Added"
T70405,"Table 7.4.5. Housing Sector Output, Gross Value Added, and Net Value Added"
T70406,"Table 7.4.6. Real Housing Sector Output, Real Gross Value Added, and Real Net Value Added, Chained Dollars"
T70500,"Table 7.5. Consumption of Fixed Capital by Legal Form of Organization and Type of Income"
T70600,"Table 7.6. Capital Consumption Adjustment by Legal Form of Organization and Type of Adjustment"
T70700,"Table 7.7. Business Current Transfer Payments by Type"
T70800,"Table 7.8. Supplements to Wages and Salaries by Type"
T70900,"Table 7.9. Rental Income of Persons by Legal Form of Organization and by Type of Income"
T71000,"Table 7.10. Dividends Paid and Received by Sector"
T71100,"Table 7.11. Interest Paid and Received by Sector and Legal Form of Organization"
T71200,"Table 7.12. Imputations in the National Income and Product Accounts"
T71300,"Table 7.13. Relation of Consumption of Fixed Capital in the National Income and Product Accounts to Depreciation and Amortization as Published by the Internal Revenue Service"
T71400,"Table 7.14. Relation of Nonfarm Proprietors' Income in the National Income and Product Accounts to Corresponding Measures as Published by the Internal Revenue Service"
T71500,"Table 7.15. Relation of Net Farm Income in the National Income and Product Accounts to Net Farm Income as Published by the U.S. Department of Agriculture"
T71600,"Table 7.16. Relation of Corporate Profits, Taxes, and Dividends in the National Income and Product Accounts to Corresponding Measures as Published by the Internal Revenue Service"
T71700,"Table 7.17. Relation of Monetary Interest Paid and Received in the National Income and Product Accounts to Corresponding Measures as Published by the Internal Revenue Service"
T71800,"Table 7.18. Relation of Wages and Salaries in the National Income and Product Accounts to Wages and Salaries as Published by the Bureau of Labor Statistics"
T71900,"Table 7.19. Comparison of Income and Outlays of Nonprofit Institutions Serving Households with Revenue and Expenses as Published by the Internal Revenue Service"
T72000,"Table 7.20. Transactions of Defined Benefit and Defined Contribution Pension Plans"
T72100,"Table 7.21. Transactions of Defined Benefit Pension Plans"
T72200,"Table 7.22. Transactions of Private Defined Benefit Pension Plans"
T72300,"Table 7.23. Transactions of Federal Government Defined Benefit Pension Plans"
T72400,"Table 7.24. Transactions of State and Local Government Defined Benefit Pension Plans"
T72500,"Table 7.25. Transactions of Defined Contribution Pension Plans"
U001A,"Table 1AU. Real Manufacturing and Trade Inventories, Seasonally Adjusted, End of Period [Chained 1996 dollars, 1967-96, SIC]"
U001A2,"Table 1AU2. Real Manufacturing and Trade Inventories, Seasonally Adjusted, End of Period [Chained 2009 dollars, 1967-96, SIC]"
U001B,"Table 1BU. Real Manufacturing and Trade Inventories, Seasonally Adjusted, End of Period [Chained 2009 dollars, 1997 forward, NAICS]"
U001BC,"Table 1BUC. Current Dollar Manufacturing and Trade Inventories, Seasonally Adjusted, End of Period [1997 forward, NAICS]"
U002AU,"Table 2AU. Real Manufacturing and Trade Sales, Seasonally Adjusted at Monthly Rate [Chained 1996 dollars, 1967-96, SIC]"
U002AUI,"Table 2AUI. Implicit Price Deflators for Manufacturing and Trade Sales [Index base 1996, 1967-96, SIC]"
U002BU,"Table 2BU. Real Manufacturing and Trade Sales, Seasonally Adjusted at Monthly Rate [Chained 2009 dollars, 1997 forward, NAICS]"
U002BUI,"Table 2BUI. Implicit Price Deflators for Manufacturing and Trade Sales [Index base 2009, 1997 forward, NAICS]"
U003AU,"Table 3AU. Real Inventory-Sales Ratios for Manufacturing and Trade, Seasonally Adjusted [Based on chained 1996 dollars, 1967-96, SIC]"
U003BU,"Table 3BU. Real Inventory-Sales Ratios for Manufacturing and Trade, Seasonally Adjusted [Based on chained 2009 dollars, 1997 forward, NAICS]"
U004A1,"Table 4AU1. Real Manufacturing Inventories, by Stage of Fabrication (Materials and supplies), Seasonally Adjusted, End of Period [Chained 2009 dollars, 1967-97 forward, SIC]"
U004A2,"Table 4AU2. Real Manufacturing Inventories, by Stage of Fabrication (Works-in-process), Seasonally Adjusted, End of Period [Chained 2009 dollars, 1967-97 forward, SIC]"
U004A3,"Table 4AU3. Real Manufacturing Inventories, by Stage of Fabrication (Finished goods), Seasonally Adjusted, End of Period [Chained 2009 dollars, 1967-97 forward, SIC]"
U004B1,"Table 4BU1. Real Manufacturing Inventories, by Stage of Fabrication (Materials and supplies), Seasonally Adjusted, End of Period [Chained 2009 dollars, 1997 forward, NAICS]"
U004B2,"Table 4BU2. Real Manufacturing Inventories, by Stage of Fabrication (Work-in-process), Seasonally Adjusted, End of Period [Chained 2009 dollars, 1997 forward, NAICS]"
U004B3,"Table 4BU3. Real Manufacturing Inventories, by Stage of Fabrication (Finished goods), Seasonally Adjusted, End of Period [Chained 2009 dollars, 1997 forward, NAICS]"
U00500,"Table 5U. BEA Retail and Food Service Sales"
U00600,"Table 6U. Real BEA Retail and Food Service Sales"
U00700,"Table 7U. Chain-Type Price Indexes for BEA Retail and Food Service Sales"
U20304,"Table 2.3.4U. Price Indexes for Personal Consumption Expenditures by Major Type of Product and by Major Function"
U20305,"Table 2.3.5U. Personal Consumption Expenditures by Major Type of Product and by Major Function"
U20306,"Table 2.3.6U. Real Personal Consumption Expenditures by Major Type of Product and by Major Function"
U20403,"Table 2.4.3U. Real Personal Consumption Expenditures by Type of Product, Quantity Indexes"
U20404,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product"
U20405,"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
U20406,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars"
U30400,"Table 3.4U. Personal Current Tax Receipts"
U30500,"Table 3.5U. Taxes on Production and Imports"
U30600,"Table 3.6U. Contributions for Government Social Insurance"
U30700,"Table 3.7U. Government Current Transfer Receipts"
U30800,"Table 3.8U. Current Surplus of Government Enterprises"
U31200,"Table 3.12U. Government Social Benefits"
U31300,"Table 3.13U. Subsidies"
U32400,"Table 3.24U. Federal Grants-in-Aid to State and Local Governments"
U32500,"Table 3.25U. Compensation of General Government Employees"
U40203,"Table 4.2.3U. Real Exports and Imports of Goods and Services by Type of Product, Quantity Indexes"
U40204,"Table 4.2.4U. Price Indexes for Exports and Imports of Goods and Services by Type of Product"
U40205,"Table 4.2.5U. Exports and Imports of Goods and Services by Type of Product"
U40206,"Table 4.2.6U. Real Exports and Imports of Goods and Services by Type of Product, Chained Dollars"
U4030B,"Table 4.3BU. Relation of Foreign Transactions in the National Income and Product Accounts to the Corresponding Items in the International Transactions Accounts"
U50203,"Table 5.2.3U. Real Gross and Net Domestic Investment by Major Type, Quantity Indexes"
U50205,"Table 5.2.5U. Gross and Net Domestic Investment by Major Type"
U50206,"Table 5.2.6U. Real Gross and Net Domestic Investment by Major Type, Chained Dollars"
U50404,"Table 5.4.4U. Price Indexes for Private Fixed Investment in Structures by Type"
U50405,"Table 5.4.5U. Private Fixed Investment in Structures by Type"
U50406,"Table 5.4.6U. Private Fixed Investment in Structures by Type, Chained dollars"
U50504,"Table 5.5.4U. Price Indexes for Private Fixed Investment in Equipment  by Type"
U50505,"Table 5.5.5U. Private Fixed Investment in Equipment  by Type"
U50506,"Table 5.5.6U. Private Fixed Investment in Equipment  by Type, Chained dollars"
U50705AM1,"Table 5.7.5AM1. Change in Private Inventories by Industry"
U50705AM2,"Table 5.7.5AM2. Change in Book Value by Industry"
U50705AM3,"Table 5.7.5AM3. Inventory Valuation Adjustment by Industry"
U50705AU1,"Table 5.7.5AU1. Change in Private Inventories by Industry"
U50705AU2,"Table 5.7.5AU2. Change in Book Value by Industry"
U50705AU3,"Table 5.7.5AU3. Inventory Valuation Adjustment by Industry"
U50705BM1,"Table 5.7.5BM1. Change in Private Inventories by Industry"
U50705BM2,"Table 5.7.5BM2. Change in Book Value by Industry"
U50705BM3,"Table 5.7.5BM3. Inventory Valuation Adjustment by Industry"
U50705BU1,"Table 5.7.5BU1. Change in Private Inventories by Industry"
U50705BU2,"Table 5.7.5BU2. Change in Book Value by Industry"
U50705BU3,"Table 5.7.5BU3. Inventory Valuation Adjustment by Industry"
U50706AM,"Table 5.7.6AM. Change in Real Private Inventories by Industry"
U50706AU,"Table 5.7.6AU. Change in Real Private Inventories by Industry"
U50706BM,"Table 5.7.6BM. Change in Real Private Inventories by Industry"
U50706BU,"Table 5.7.6BU. Change in Real Private Inventories by Industry"
U51100,"Table 5.11U. Capital Transfers Paid and Received, by Sector and by Type"
U70204,"Table 7.2.4U. Price Indexes for Motor Vehicle Output"
U70205,"Table 7.2.5U. Motor Vehicle Output"
U70205S,"Table 7.2.5S. Auto and Truck Unit Sales, Production, Inventories, Expenditures, and Price"
U70206,"Table 7.2.6U. Real Motor Vehicle Output, Chained Dollars"
U90100,"Table 9.1U. Reconciliation of Percent Change in the CPI with Percent Change in the PCE Price Index"
U90200,"Table 9.2U. Final Sales of Domestic Computers"
U90300,"Table 9.3U. Gross Domestic Product and Final Sales of Software"
U90400,"Table 9.4U. Software investment and prices"
U90500,"Table 9.5U. Contributions to Percent Change in Real Gross Domestic Product From Final Sales of Computers, Software, and Communications Equipment"
HzRfMortInt,"Mortgage interest paid, owner- and tenant- occupied residential housing"
IntlStyl1,"Gross Domestic Product by International Style Aggregation"
IntlStyl2,"Real Gross Domestic Product by International Style Aggregation"
IntlStyl3,"Price Index for Gross Domestic Product by International Style Aggregation"
IntlStyl4,"Quantity Index for Gross Domestic Product by International Style Aggregation"
RfFwpLvl,"FWPI-1. Fixed-Weighted Price Indexes"
RfFwpPct,"FWPI-2. Percent Change From Preceding Period for Selected Fixed-Weighted Price Index Series"
RfGvDBImpute,"Government Defined Benefit Pension Plan Imputations"
RfHhInstComp,"Households and institutions compensation"
RfTaxAct,"Net effects of Changes in the Tax Treatment of Depreciation on Selected Measures of Corporate Profits"
